year,fire_count,mean_frp,iso,adm1,loss_ha,loss_from_fire_ha
2015,6528,4840.596837433808,USA,6,6077.228782048712,1512.6463717245101
2016,17172,9291.881808089322,USA,6,8550.436853275985,6013.948457301777
2017,11904,7705.85057029631,USA,6,9004.091206110426,5315.2069468524915
2018,12935,2614.9097611483216,USA,6,31348.825306447285,28699.560317702035
2019,2867,2277.4274862899756,USA,6,18475.13824956912,10105.894241108343
2020,22803,3518.049618697186,USA,6,45940.12526344079,42248.128206496294
2021,3030,2188.641214163279,USA,6,76320.308172199,67040.43897384002
2022,1712,1573.9653332182033,USA,6,6184.594694111571,811.0969697302521
2023,2760,1912.4157703229446,USA,6,10316.097538108022,2372.1459638312435
2024,2399,1992.7224854560939,USA,6,6891.20197269324,2664.9981065765865
