"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"USA",6,2001,13958.066092161553446347,537.623160382172540185
"USA",6,2002,44736.920813504882420248,39872.914114304741829142
"USA",6,2003,12435.417098842801568525,3027.697167630823091824
"USA",6,2004,16301.597413408115490549,2098.733353995227083099
"USA",6,2005,22599.610665937457180280,2986.742475894765837272
"USA",6,2006,9477.024160013226290754,2444.09200526916086594
"USA",6,2007,62213.680528056983763770,425.434808670087117490
"USA",6,2008,23969.330384618442391971,986.937503209771950266
"USA",6,2009,7191.781256990458496465,1342.829076330238334496
"USA",6,2010,22440.665532853004101768,2592.132304130349109646
"USA",6,2011,10406.820886698098302160,2089.96101798661230576
"USA",6,2012,28062.722821788150338489,20808.151155510099143949
"USA",6,2013,22457.443042318942207596,15809.849408647315662750
"USA",6,2014,9253.808469889523416801,1996.222659930130430938
"USA",6,2015,6077.228782048712231225,1512.646371724510299805
"USA",6,2016,8550.436853275985417066,6013.94845730177690193
"USA",6,2017,9004.091206110427962216,5315.206946852491461942
"USA",6,2018,31348.825306447284210752,28699.56031770203733068
"USA",6,2019,18475.138249569119395869,10105.89424110834236503
"USA",6,2020,45940.125263440782369274,42248.128206496295167786
"USA",6,2021,76320.308172199008511630,67040.438973840025622675
"USA",6,2022,6184.594694111571581955,811.09696973025213939
"USA",6,2023,10316.097538108022357164,2372.145963831243606032
"USA",6,2024,6891.201972693240173699,2664.99810657658649999
